alpha_full,exposure,abs_rel,rmse_log
0.0,ev_0,0.043058802188970687,0.05645510104780199
0.0,ev_1,0.04336813548668204,0.056927471709028454
0.0,ev_2,0.043991522402360754,0.057954628912907404
0.0,ev_5,0.05215509263558656,0.06698763035297249
0.0,ev_10,0.054406283682745686,0.0711286678705766
0.25,ev_0,0.05075873074678496,0.06367196451361878
0.25,ev_1,0.051093882157926526,0.06412916741011233
0.25,ev_2,0.051656579126412736,0.06507065538597984
0.25,ev_5,0.055081293924329096,0.06970409049940895
0.25,ev_10,0.055061297431786435,0.07113279061802025
0.5,ev_0,0.06036766093797769,0.07205053105369243
0.5,ev_1,0.06070156892099106,0.07248810231517942
0.5,ev_2,0.061190357842584926,0.07334684941909043
0.5,ev_5,0.059775193126716246,0.07420275477599014
0.5,ev_10,0.05770288937693187,0.07308151956114495
0.75,ev_0,0.07114939005554131,0.08117317172367065
0.75,ev_1,0.07147884359988038,0.08159098286017517
0.75,ev_2,0.07190724624612282,0.08237643503246511
0.75,ev_5,0.06593983543917815,0.08012366636783658
0.75,ev_10,0.06209595235106815,0.07676318156201177
1.0,ev_0,0.08264191110725946,0.09076566343042593
1.0,ev_1,0.08296091588898778,0.0911653122469855
1.0,ev_2,0.08334522355039219,0.09188805684147824
1.0,ev_5,0.07334081918669937,0.08712434064563043
1.0,ev_10,0.06794967010169466,0.08188731353689035
