exposure,scene,scene_count,evaluated_batches,depth_pixels,abs_rel,delta1,rmse_log,rmse,ate,rpe_trans,rpe_rot_deg
ev_0,ALL_4_SCENES,4,464,76510653,0.04903864898115734,0.999872030892221,0.062119211500711646,0.12543409370999914,0.1280015685820374,0.06834382334210236,1.905002035264825
ev_1,ALL_4_SCENES,4,464,76510653,0.04937219055532974,0.9998289127136322,0.06258000968295589,0.12643354173674587,0.1279179695833089,0.06830455359585326,1.9094498644358124
ev_2,ALL_4_SCENES,4,464,76510653,0.04994883703080384,0.9995734058105608,0.06353875639481314,0.1284973456202366,0.12784500943561053,0.06827719011825734,1.8973028763871769
ev_5,ALL_4_SCENES,4,464,76510653,0.05434482113168117,0.9979095067977004,0.06900718412509799,0.14287092537605087,0.13549027546983342,0.07220738406839042,2.055508962479131
ev_10,ALL_4_SCENES,4,464,76510653,0.0547653622839548,0.9978583374526944,0.0709718206558488,0.14865404676884064,0.141354953067313,0.07517694735674765,2.163360874457606
